cntr_01,dist_x,pang_x,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
1955,0.133900,3.513011,3.2003179492E+02,-2.1394392455E-01,1486105400008457,320.0317972,-0.2139068,1486,5,4,zg,17,2,17,2,1.978400E+01,2.900000E-02,1.332051E-06,8.532154E-01,1.008106E-01,1.999234E+01,5.331230E-02,1.974601E+01,9.263876E-02,1.955865E+01
1956,0.094658,29.487870,3.0545450099E+02,1.7986102612E+01,1588114300033824,305.4545146,17.9861255,1588,14,3,zg,34,10,34,10,1.964800E+01,3.100000E-02,1.032660E-06,8.928606E-01,1.354624E-01,1.988251E+01,4.993057E-02,1.965189E+01,8.290999E-02,1.927050E+01
1957,null,null,1.1641694423E+02,-4.7351023073E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1958,0.176752,93.141187,1.6026072815E+02,-2.3722660010E+01,267112400006308,160.2607817,-23.7226627,267,12,4,zg,40,40,43,43,2.006400E+01,7.300000E-02,2.397237E-06,1.584745E+00,3.519051E-01,2.028345E+01,1.515312E-01,2.003181E+01,1.417642E-01,1.834324E+01
1959,0.042958,-21.783803,2.1131391101E+02,5.8638827619E+01,821101300002485,211.3139025,58.6388387,821,1,3,zg,553,430,568,444,2.010500E+01,3.600000E-02,2.028628E-06,7.902790E-01,1.484762E-01,2.061582E+01,7.659721E-02,2.013354E+01,1.436999E-01,1.935658E+01
1960,null,null,2.6196299406E+02,-5.6317552097E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1961,null,null,8.2307621939E+01,-6.0104599265E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1962,0.167087,-17.707511,5.2070423212E+01,-1.8796448914E+01,301106300003630,52.0704083,-18.7964047,301,6,3,zg,191,119,205,127,1.952300E+01,2.800000E-02,1.889083E-06,8.397090E-01,1.201594E-01,1.987441E+01,7.308769E-02,1.953007E+01,1.290445E-01,1.898958E+01
1963,0.199177,-115.134219,2.8397193984E+02,3.6904986700E+01,684114100019340,283.9718772,36.9049632,684,14,1,zg,711,680,724,693,1.991000E+01,3.300000E-02,1.695260E-06,1.004073E+00,1.120474E-01,2.035579E+01,6.351471E-02,1.994777E+01,9.378490E-02,1.943264E+01
1964,null,null,3.2426034314E+02,-1.7777808036E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1965,0.069187,-90.670954,2.9869226133E+02,-2.3368531275E+01,286112300002296,298.6922404,-23.3685315,286,12,3,zg,70,70,71,71,1.984300E+01,4.500000E-02,1.942945E-06,7.990465E-01,1.646224E-01,2.008929E+01,6.076622E-02,1.984142E+01,1.127494E-01,1.906406E+01
1966,null,null,2.7585200793E+02,-3.3280034257E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1967,0.086694,0.581071,6.6122184006E+01,3.3759903519E+01,1699101400003138,66.1221843,33.7599276,1699,1,4,zg,50,50,52,52,1.974900E+01,2.300000E-02,6.524174E-07,9.210690E-01,1.129072E-01,1.993465E+01,5.270672E-02,1.975666E+01,8.483945E-02,1.940353E+01
1968,0.068106,-116.868752,5.9531494706E+01,1.6551989750E+01,1553110100002882,59.5314771,16.5519812,1553,10,1,zg,50,50,50,50,1.993100E+01,3.000000E-02,4.931205E-07,1.176994E+00,1.206597E-01,2.010356E+01,7.554245E-02,1.989710E+01,9.515698E-02,1.947539E+01
1969,0.194896,-12.384999,8.7375899778E+01,9.6525980222E+00,1505109100014844,87.3758880,9.6526509,1505,9,1,zg,32,29,33,30,2.005300E+01,4.500000E-02,1.382238E-06,1.227596E+00,1.554890E-01,2.032841E+01,1.051693E-01,2.005449E+01,1.270158E-01,1.960102E+01
1970,0.180838,7.198938,1.5300949566E+02,2.1023475463E+01,571114300003118,153.0095024,21.0235253,571,14,3,zg,174,152,180,158,1.996800E+01,2.700000E-02,1.967249E-06,8.556569E-01,1.319427E-01,2.030486E+01,7.259655E-02,1.997869E+01,1.257883E-01,1.921151E+01
1971,null,null,2.5713622421E+02,-3.9627993997E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1972,0.131620,28.122782,2.2819053240E+02,5.0682725553E+00,479110400002986,228.1905497,5.0683048,479,10,4,zg,203,145,206,147,1.968500E+01,3.000000E-02,9.867653E-07,8.189262E-01,1.170721E-01,2.007121E+01,6.098557E-02,1.973034E+01,1.104095E-01,1.918509E+01
1973,0.070950,45.554403,3.3575659040E+02,4.8663482700E+01,1806101200022949,335.7566117,48.6634965,1806,1,2,zg,53,53,53,53,1.961500E+01,2.400000E-02,8.182238E-07,1.172520E+00,1.080377E-01,1.996698E+01,6.115723E-02,1.961325E+01,7.733064E-02,1.938570E+01
1974,0.098153,37.339804,2.7390020633E+02,7.8655484323E+01,865115400005678,273.9002904,78.6555060,865,15,4,zg,593,532,619,556,1.959900E+01,3.000000E-02,1.351825E-06,9.430674E-01,1.118073E-01,2.002942E+01,6.002808E-02,1.960366E+01,9.437038E-02,1.892673E+01
1975,null,null,1.6970159057E+02,-7.7011908750E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1976,0.054372,17.810204,2.5128311347E+02,2.7924386420E+01,1678108400013350,251.2831187,27.9244008,1678,8,4,zg,17,9,18,10,1.994800E+01,4.300000E-02,1.237652E-06,2.260736E+00,1.734634E-01,2.021659E+01,1.563244E-01,1.990532E+01,1.025182E-01,1.962654E+01
1977,0.111859,7.698781,5.8348064831E+01,-1.7693777192E+01,1294113200008769,58.3480692,-17.6937464,1294,13,2,zg,24,3,28,3,1.978000E+01,3.300000E-02,2.395554E-06,6.158534E-01,2.261026E-01,2.002477E+01,6.389427E-02,1.974922E+01,1.538185E-01,1.899125E+01
1978,0.064710,37.625500,3.1943514020E+02,2.3854266963E+01,642101100015590,319.4351522,23.8542812,642,1,1,zg,258,254,268,264,1.991300E+01,3.800000E-02,1.291183E-06,9.401502E-01,1.001160E-01,2.023158E+01,5.563068E-02,1.989082E+01,8.772859E-02,1.952699E+01
1979,0.148646,-33.658517,8.9393823740E+01,-2.5898982168E+01,257107400010742,89.3937983,-25.8989478,257,7,4,zg,73,69,77,73,1.969000E+01,3.600000E-02,2.396252E-06,1.158548E+00,1.794524E-01,1.988863E+01,9.332466E-02,1.962338E+01,1.194280E-01,1.882524E+01
1980,0.099460,31.798874,1.2943647726E+02,3.5740382319E+01,665116300002115,129.4364952,35.7404058,665,16,3,zg,298,205,322,226,1.976400E+01,3.300000E-02,1.683863E-06,8.434708E-01,1.148302E-01,2.009758E+01,5.043793E-02,1.972675E+01,8.865662E-02,1.867748E+01
1981,0.139926,-85.923920,3.2558644265E+02,5.1480502937E+01,802102300045896,325.5863804,51.4805057,802,2,3,zg,433,422,443,432,1.979400E+01,2.500000E-02,1.181107E-06,9.899970E-01,1.021165E-01,2.023071E+01,5.801582E-02,1.984398E+01,8.688335E-02,1.934363E+01
1982,0.189775,82.365379,3.4609691418E+02,4.1644750997E+01,1772104100007020,346.0969841,41.6447580,1772,4,1,zg,69,69,69,69,1.981000E+01,2.200000E-02,9.836891E-07,1.135759E+00,9.600057E-02,2.004984E+01,6.421471E-02,1.981050E+01,8.382476E-02,1.952321E+01
1983,0.119891,-35.236010,4.9710123108E+01,4.5693492799E+01,1740112100003306,49.7100956,45.6935200,1740,12,1,zg,62,62,62,62,1.986600E+01,2.400000E-02,2.144668E-07,9.730470E-01,9.580103E-02,2.007855E+01,5.957508E-02,1.990061E+01,9.077261E-02,1.958472E+01
1984,null,null,2.7760411924E+02,-3.4839711041E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1985,null,null,2.7202957732E+02,-8.0586461141E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1986,0.118683,-58.616199,1.2240072078E+00,1.5508993432E+01,550103400003184,1.2239780,15.5090106,550,3,4,zg,270,225,282,235,1.976000E+01,2.100000E-02,1.146092E-06,9.349851E-01,1.100442E-01,2.011099E+01,6.161118E-02,1.976091E+01,9.769645E-02,1.933348E+01
1987,0.135193,-4.292521,1.5599020778E+02,-1.9349670348E+01,316103200001477,155.9902048,-19.3496329,316,3,2,zg,77,76,81,80,1.968700E+01,3.100000E-02,1.954746E-06,9.887592E-01,1.248015E-01,1.981537E+01,6.935883E-02,1.956001E+01,1.040004E-01,1.918240E+01
1988,null,null,2.1713689669E+02,-3.8706306157E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1989,0.112067,-19.168353,2.6660244976E+02,1.6425962596E+01,1583112100013052,266.6024391,16.4259920,1583,12,1,zg,18,9,18,9,1.988600E+01,3.700000E-02,1.385766E-06,1.269657E+00,1.275534E-01,2.018643E+01,7.801628E-02,1.986638E+01,9.110095E-02,1.962457E+01
1990,null,null,2.8010692705E+02,-3.8013402821E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1991,null,null,2.8739194088E+02,-2.9209081530E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1992,null,null,1.2478904860E+02,-5.1469020445E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1993,0.184055,16.579057,1.7888746084E+02,1.1042160399E+01,524107100002765,178.8874757,11.0422094,524,7,1,zg,199,187,200,188,2.008300E+01,2.300000E-02,1.750895E-06,7.782163E-01,1.407615E-01,2.045032E+01,6.784058E-02,2.004786E+01,1.292448E-01,1.944900E+01
1994,0.070023,57.135939,2.7487245398E+02,3.2243641445E+01,1681115300005750,274.8724733,32.2436520,1681,15,3,zg,48,31,49,32,1.967200E+01,4.400000E-02,1.026517E-06,1.188349E+00,1.120647E-01,1.998825E+01,5.923176E-02,1.968245E+01,7.389832E-02,1.928099E+01
1995,null,null,2.7659992812E+02,-3.3724034769E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1996,null,null,2.3767022421E+02,-6.8729878406E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1997,0.195732,-35.769666,2.2281306495E+01,3.5413638386E+01,651115300013285,22.2812675,35.4136825,651,15,3,zg,494,314,509,327,1.995300E+01,2.700000E-02,5.805994E-07,1.265300E+00,1.430650E-01,2.045726E+01,8.760452E-02,2.006955E+01,1.026496E-01,1.944872E+01
1998,null,null,3.4674385044E+02,-6.9180216039E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1999,0.055154,-65.513277,4.7298772520E+01,3.5934020350E+01,1697106400000295,47.2987553,35.9340267,1697,6,4,zg,60,60,64,64,1.983500E+01,2.800000E-02,5.786878E-08,1.208270E+00,1.172425E-01,2.012919E+01,7.990456E-02,1.985014E+01,9.804638E-02,1.955177E+01
2000,null,null,2.8540779705E+02,-2.9090729514E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2001,null,null,1.2983201368E+02,-5.2257391492E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2002,0.083865,19.251931,1.6420115292E+02,4.5627001807E+01,753103200000370,164.2011639,45.6270238,753,3,2,zg,374,305,385,316,2.005700E+01,2.400000E-02,1.942844E-06,7.392316E-01,1.145725E-01,2.043764E+01,6.051922E-02,2.006759E+01,1.213771E-01,1.939976E+01
2003,0.015025,-104.350660,7.1157365329E+01,3.6481834934E+01,1700106200005732,71.1573603,36.4818339,1700,6,2,zg,37,37,39,39,2.011100E+01,2.600000E-02,6.586212E-07,9.108238E-01,3.072059E-01,2.035171E+01,6.575584E-02,2.005038E+01,1.070345E-01,1.835357E+01
2004,0.044862,9.813449,2.9450201745E+02,3.6772944821E+01,686116200042429,294.5020201,36.7729571,686,16,2,zg,320,263,328,268,2.041700E+01,6.100000E-02,1.781999E-06,1.057707E+00,1.550103E-01,2.079682E+01,8.709717E-02,2.038291E+01,1.220851E-01,1.976691E+01
2005,0.100231,13.454318,1.4180260140E+02,1.0982593722E+01,519107200002947,141.8026080,10.9826208,519,7,2,zg,143,117,148,122,1.956900E+01,2.000000E-02,1.650970E-06,2.350325E+00,2.608645E-01,2.027836E+01,1.663570E-01,1.983240E+01,1.049391E-01,1.896880E+01
2006,null,null,2.0223426214E+02,-3.9926600867E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2007,0.065805,19.987074,2.7318070122E+02,4.0218006822E+01,1724114100004351,273.1807094,40.2180240,1724,14,1,zg,32,19,32,19,1.972200E+01,2.900000E-02,1.130474E-06,1.191902E+00,9.757549E-02,1.991772E+01,7.625675E-02,1.973264E+01,9.485532E-02,1.954172E+01
2008,0.119370,-60.707568,2.0610366728E+01,2.9199455377E+01,603116100008492,20.6103336,29.1994716,603,16,1,zg,249,239,255,245,1.988600E+01,3.800000E-02,6.170106E-07,9.126928E-01,1.267200E-01,2.036633E+01,6.039619E-02,1.990437E+01,9.810902E-02,1.916813E+01
2009,0.089740,7.343586,1.0382260381E+02,-2.8400562234E+00,411108200001468,103.8226070,-2.8400315,411,8,2,zg,0,0,160,142,1.978300E+01,2.900000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.066779E-01,0.000000E+00
2010,null,null,1.5701094403E+02,-5.1370129387E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,0.084602,-40.345901,2.6454843679E+00,2.4858553289E+01,600106400001821,2.6454676,24.8585712,600,6,4,zg,242,200,325,248,1.984700E+01,3.000000E-02,1.064479E-06,8.023554E-01,1.404509E-01,2.029755E+01,6.966782E-02,1.986961E+01,1.287329E-01,1.910521E+01
2012,0.088091,28.267451,2.1647859397E+02,4.8245501484E+00,478112300004190,216.4786056,4.8245717,478,12,3,zg,125,119,129,123,1.991900E+01,4.300000E-02,1.250764E-06,6.991631E-01,1.180520E-01,2.040629E+01,5.508804E-02,1.990560E+01,1.168161E-01,1.951717E+01
2013,null,null,1.5521539956E+02,-2.9323196512E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2014,null,null,9.3782212840E+01,-4.2177091414E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2015,null,null,1.1560119301E+02,-6.0718520709E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2016,0.104540,140.639546,5.6081427744E+01,-2.3331350648E+01,252109400000183,56.0814478,-23.3313731,252,9,4,zg,87,60,90,63,1.988300E+01,3.400000E-02,2.725356E-06,1.144583E+00,1.869902E-01,2.013893E+01,1.314945E-01,1.985540E+01,1.703273E-01,1.922332E+01
2017,null,null,3.0707547524E+02,-3.2449913236E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2018,0.686012,-178.096520,5.7662213627E+01,1.4132011154E+01,1553107400001014,57.6622071,14.1318207,1553,7,4,zg,51,51,52,52,1.976300E+01,1.080000E-01,1.226667E-06,1.324730E+00,1.865235E-01,2.015898E+01,7.813263E-02,1.979184E+01,8.744379E-02,1.912156E+01
2019,3.447634,44.026601,2.6682091376E+02,-1.7698269687E+01,332108100035903,266.8216124,-17.6975811,332,8,1,zg,105,89,119,100,1.880500E+01,2.400000E-02,5.873906E-07,9.394465E-01,6.383315E-02,1.899489E+01,4.322243E-02,1.884836E+01,6.821205E-02,1.870304E+01
2020,null,null,3.2494105747E+02,-2.8606630333E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2021,null,null,7.5634105284E+01,-3.8113824956E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2022,0.189748,6.694695,2.4619153886E+02,1.0122244052E+01,533105400010623,246.1915451,10.1222964,533,5,4,zg,222,157,225,160,1.998800E+01,3.500000E-02,1.264129E-06,8.490090E-01,1.323608E-01,2.046799E+01,6.655025E-02,2.000326E+01,1.162148E-01,1.950019E+01
2023,0.184690,67.517759,3.0698323336E+02,6.7742719819E+00,1537107400034692,306.9832811,6.7742916,1537,7,4,zg,14,0,16,0,2.040500E+01,6.200000E-02,1.366315E-06,1.423800E+00,1.469746E-01,2.062880E+01,1.068535E-01,2.030225E+01,1.112663E-01,2.008746E+01
2024,1.578610,103.218699,2.5661049175E+02,-2.4667908829E+01,280107200019700,256.6109615,-24.6680091,280,7,2,zg,29,29,29,29,2.004300E+01,9.200000E-02,1.835048E-06,1.511904E+00,2.161875E-01,2.050635E+01,1.324863E-01,2.007514E+01,1.299185E-01,1.955465E+01
2025,null,null,1.4000269016E+02,-2.9593751554E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2026,null,null,2.7204667018E+02,-4.0481456288E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2027,0.090710,0.751745,1.0572833505E+02,1.7315013505E+01,564105400023801,105.7283354,17.3150387,564,5,4,zg,125,106,136,117,2.022100E+01,3.100000E-02,1.609119E-06,9.215685E-01,1.571342E-01,2.064570E+01,7.792854E-02,2.025192E+01,1.253698E-01,1.950454E+01
2028,null,null,1.4314026404E+02,9.1721263947E+00,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2029,0.053775,1.717278,2.8534676824E+02,3.7385173569E+01,1726112400011043,285.3467688,37.3851885,1726,12,4,zg,27,8,51,26,1.982500E+01,4.000000E-02,1.193834E-06,1.159157E+00,1.481256E-01,2.030772E+01,7.119179E-02,1.982680E+01,9.105666E-02,1.956308E+01
2030,null,null,1.1861930486E+02,-4.2434759022E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2031,0.315833,-125.101486,1.7258052312E+02,4.7277433479E+00,471110300003910,172.5804511,4.7276929,471,10,3,zg,92,89,92,89,2.057300E+01,8.100000E-02,2.590942E-06,1.088904E+00,1.699821E-01,2.083790E+01,1.300240E-01,2.056758E+01,1.770344E-01,2.008796E+01
2032,null,null,1.2591005297E+02,-6.1163317987E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2033,null,null,1.1898891447E+02,-2.4290524287E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2034,null,null,2.7845311493E+02,-4.0630877165E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2035,0.060407,58.299478,3.1636748252E+02,3.7002828983E+01,730101400042441,316.3675004,37.0028378,730,1,4,zg,430,356,440,366,1.980700E+01,3.200000E-02,1.571131E-06,9.807714E-01,1.009942E-01,2.009949E+01,5.672741E-02,1.979671E+01,8.575296E-02,1.942970E+01
2036,null,null,3.0847820279E+02,-4.4718310566E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2037,0.058627,-109.880014,3.2051600548E+02,8.3174415378E+00,544102300005978,320.5159900,8.3174360,544,2,3,zg,278,147,287,152,2.057700E+01,6.000000E-02,1.963208E-06,1.073166E+00,1.902845E-01,2.103155E+01,1.023083E-01,2.053188E+01,1.413409E-01,1.948185E+01
2038,0.074383,37.912482,2.9687623749E+02,5.2812987099E+01,1803112200004946,296.8762585,52.8130034,1803,12,2,zg,35,20,35,20,2.046600E+01,5.200000E-02,1.792002E-06,1.204000E+00,1.907577E-01,2.086685E+01,1.147175E-01,2.052623E+01,1.412625E-01,2.008145E+01
2039,null,null,2.2695869120E+02,-4.0338523723E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2040,2.198310,69.308275,2.7486903386E+02,7.5403196364E+00,486114200054355,274.8696101,7.5405354,486,14,2,zg,186,185,199,198,1.872600E+01,3.200000E-02,1.023773E-06,1.027885E+00,5.196054E-02,1.891469E+01,3.063583E-02,1.873143E+01,4.418849E-02,1.850767E+01
2041,0.079507,-8.545511,1.7957267533E+02,3.3288587860E+01,1668113200000787,179.5726714,33.2886097,1668,13,2,zg,28,19,29,20,1.979900E+01,3.600000E-02,1.655955E-06,8.945910E-01,1.227911E-01,1.997352E+01,7.547379E-02,1.980950E+01,1.250822E-01,1.946455E+01
2042,0.575759,-100.401615,3.2583777560E+02,2.0644358875E+01,595110200014410,325.8376075,20.6443300,595,10,2,zg,251,199,263,208,2.019200E+01,6.900000E-02,5.903694E-06,1.886889E+00,2.256907E-01,2.085669E+01,1.461678E-01,2.024420E+01,1.148495E-01,1.933031E+01
2043,null,null,2.7806950922E+02,-5.7549396506E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2044,null,null,2.3350100821E+01,-3.5332068317E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
